match_id,season,team1,team2,venue,toss_winner,toss_decision,winner,win_by_runs,win_by_wickets,player_of_match,win_margin,toss_won_match,match_type,season_champion
34,2016,Mumbai Indians,Sunrisers Hyderabad,Arun Jaitley Stadium,Mumbai Indians,field,Sunrisers Hyderabad,1,0,Nicholas Pooran,1 runs,False,Close,Delhi Capitals
35,2016,Mumbai Indians,Punjab Kings,M.A. Chidambaram Stadium,Mumbai Indians,bat,Punjab Kings,0,6,Shikhar Dhawan,6 wickets,False,Chase,Delhi Capitals
36,2016,Chennai Super Kings,Royal Challengers Bangalore,Arun Jaitley Stadium,Chennai Super Kings,bat,Chennai Super Kings,21,0,Ruturaj Gaikwad,21 runs,True,One-sided,Delhi Capitals
37,2016,Chennai Super Kings,Kolkata Knight Riders,Arun Jaitley Stadium,Chennai Super Kings,field,Kolkata Knight Riders,38,0,Shreyas Iyer,38 runs,False,One-sided,Delhi Capitals
38,2016,Chennai Super Kings,Delhi Capitals,Wankhede Stadium,Chennai Super Kings,bat,Chennai Super Kings,24,0,MS Dhoni,24 runs,True,One-sided,Delhi Capitals
39,2016,Chennai Super Kings,Rajasthan Royals,Arun Jaitley Stadium,Chennai Super Kings,bat,Rajasthan Royals,0,8,Jos Buttler,8 wickets,False,Chase,Delhi Capitals
40,2016,Chennai Super Kings,Sunrisers Hyderabad,Eden Gardens,Chennai Super Kings,bat,Chennai Super Kings,58,0,Deepak Chahar,58 runs,True,One-sided,Delhi Capitals
41,2016,Chennai Super Kings,Punjab Kings,M.A. Chidambaram Stadium,Punjab Kings,field,Punjab Kings,0,9,Mayank Agarwal,9 wickets,True,Chase,Delhi Capitals
42,2016,Royal Challengers Bangalore,Kolkata Knight Riders,Rajiv Gandhi Stadium,Royal Challengers Bangalore,field,Kolkata Knight Riders,30,0,Venkatesh Iyer,30 runs,False,One-sided,Delhi Capitals
43,2016,Royal Challengers Bangalore,Delhi Capitals,Arun Jaitley Stadium,Royal Challengers Bangalore,field,Delhi Capitals,11,0,Prithvi Shaw,11 runs,False,Close,Delhi Capitals
44,2016,Royal Challengers Bangalore,Rajasthan Royals,Wankhede Stadium,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,65,0,Glenn Maxwell,65 runs,True,One-sided,Delhi Capitals
45,2016,Royal Challengers Bangalore,Sunrisers Hyderabad,M.A. Chidambaram Stadium,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,46,0,Harshal Patel,46 runs,True,One-sided,Delhi Capitals
46,2016,Royal Challengers Bangalore,Punjab Kings,Eden Gardens,Royal Challengers Bangalore,bat,Punjab Kings,0,9,Kagiso Rabada,9 wickets,False,Chase,Delhi Capitals
47,2016,Kolkata Knight Riders,Delhi Capitals,M.A. Chidambaram Stadium,Kolkata Knight Riders,field,Delhi Capitals,7,0,Anrich Nortje,7 runs,False,Close,Delhi Capitals
48,2016,Kolkata Knight Riders,Rajasthan Royals,Arun Jaitley Stadium,Rajasthan Royals,field,Kolkata Knight Riders,41,0,Shreyas Iyer,41 runs,False,One-sided,Delhi Capitals
49,2016,Kolkata Knight Riders,Sunrisers Hyderabad,Eden Gardens,Kolkata Knight Riders,bat,Kolkata Knight Riders,51,0,Venkatesh Iyer,51 runs,True,One-sided,Delhi Capitals
50,2016,Kolkata Knight Riders,Punjab Kings,M.A. Chidambaram Stadium,Kolkata Knight Riders,field,Kolkata Knight Riders,0,6,Sunil Narine,6 wickets,True,Chase,Delhi Capitals
51,2016,Delhi Capitals,Rajasthan Royals,Wankhede Stadium,Rajasthan Royals,field,Delhi Capitals,5,0,Prithvi Shaw,5 runs,False,Close,Delhi Capitals
52,2016,Delhi Capitals,Sunrisers Hyderabad,Rajiv Gandhi Stadium,Sunrisers Hyderabad,bat,Delhi Capitals,0,2,Rishabh Pant,2 wickets,False,Chase,Delhi Capitals
53,2016,Delhi Capitals,Punjab Kings,M.A. Chidambaram Stadium,Delhi Capitals,field,Delhi Capitals,0,4,Axar Patel,4 wickets,True,Chase,Delhi Capitals
54,2016,Rajasthan Royals,Sunrisers Hyderabad,Rajiv Gandhi Stadium,Sunrisers Hyderabad,field,Rajasthan Royals,36,0,Sanju Samson,36 runs,False,One-sided,Delhi Capitals
55,2016,Rajasthan Royals,Punjab Kings,M.A. Chidambaram Stadium,Punjab Kings,field,Rajasthan Royals,15,0,Yuzvendra Chahal,15 runs,False,Close,Delhi Capitals
56,2016,Sunrisers Hyderabad,Punjab Kings,Wankhede Stadium,Punjab Kings,bat,Sunrisers Hyderabad,0,7,Washington Sundar,7 wickets,False,Chase,Delhi Capitals
57,2017,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,Mumbai Indians,bat,Mumbai Indians,79,0,Kieron Pollard,79 runs,True,One-sided,Kolkata Knight Riders
58,2017,Mumbai Indians,Royal Challengers Bangalore,Eden Gardens,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,49,0,Virat Kohli,49 runs,True,One-sided,Kolkata Knight Riders
59,2017,Mumbai Indians,Kolkata Knight Riders,Rajiv Gandhi Stadium,Kolkata Knight Riders,bat,Kolkata Knight Riders,29,0,Andre Russell,29 runs,True,One-sided,Kolkata Knight Riders
60,2017,Mumbai Indians,Delhi Capitals,Rajiv Gandhi Stadium,Mumbai Indians,field,Delhi Capitals,29,0,Prithvi Shaw,29 runs,False,One-sided,Kolkata Knight Riders
61,2017,Mumbai Indians,Rajasthan Royals,Wankhede Stadium,Mumbai Indians,bat,Mumbai Indians,8,0,Hardik Pandya,8 runs,True,Close,Kolkata Knight Riders
62,2017,Mumbai Indians,Sunrisers Hyderabad,M.A. Chidambaram Stadium,Mumbai Indians,field,Mumbai Indians,0,4,Jasprit Bumrah,4 wickets,True,Chase,Kolkata Knight Riders
63,2017,Mumbai Indians,Punjab Kings,Arun Jaitley Stadium,Mumbai Indians,field,Mumbai Indians,0,4,Suryakumar Yadav,4 wickets,True,Chase,Kolkata Knight Riders
64,2017,Chennai Super Kings,Royal Challengers Bangalore,Rajiv Gandhi Stadium,Royal Challengers Bangalore,field,Chennai Super Kings,11,0,MS Dhoni,11 runs,False,Close,Kolkata Knight Riders
65,2017,Chennai Super Kings,Kolkata Knight Riders,Eden Gardens,Chennai Super Kings,field,Kolkata Knight Riders,17,0,Shreyas Iyer,17 runs,False,Close,Kolkata Knight Riders
66,2017,Chennai Super Kings,Delhi Capitals,Wankhede Stadium,Delhi Capitals,field,Chennai Super Kings,28,0,Ravindra Jadeja,28 runs,False,One-sided,Kolkata Knight Riders
67,2017,Chennai Super Kings,Rajasthan Royals,Wankhede Stadium,Chennai Super Kings,field,Chennai Super Kings,0,5,MS Dhoni,5 wickets,True,Chase,Kolkata Knight Riders
68,2017,Chennai Super Kings,Sunrisers Hyderabad,Arun Jaitley Stadium,Sunrisers Hyderabad,field,Sunrisers Hyderabad,0,9,Kane Williamson,9 wickets,True,Chase,Kolkata Knight Riders
69,2017,Chennai Super Kings,Punjab Kings,Sawai Mansingh Stadium,Chennai Super Kings,field,Chennai Super Kings,0,7,MS Dhoni,7 wickets,True,Chase,Kolkata Knight Riders
70,2017,Royal Challengers Bangalore,Kolkata Knight Riders,Sawai Mansingh Stadium,Royal Challengers Bangalore,field,Kolkata Knight Riders,57,0,Sunil Narine,57 runs,False,One-sided,Kolkata Knight Riders
71,2017,Royal Challengers Bangalore,Delhi Capitals,Eden Gardens,Delhi Capitals,bat,Royal Challengers Bangalore,0,5,Dinesh Karthik,5 wickets,False,Chase,Kolkata Knight Riders
72,2017,Royal Challengers Bangalore,Rajasthan Royals,Arun Jaitley Stadium,Rajasthan Royals,field,Royal Challengers Bangalore,64,0,Glenn Maxwell,64 runs,False,One-sided,Kolkata Knight Riders
73,2017,Royal Challengers Bangalore,Sunrisers Hyderabad,Arun Jaitley Stadium,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,16,0,Bhuvneshwar Kumar,16 runs,True,Close,Kolkata Knight Riders
74,2017,Royal Challengers Bangalore,Punjab Kings,Sawai Mansingh Stadium,Royal Challengers Bangalore,field,Punjab Kings,20,0,Mayank Agarwal,20 runs,False,Close,Kolkata Knight Riders
75,2017,Kolkata Knight Riders,Delhi Capitals,Sawai Mansingh Stadium,Delhi Capitals,field,Kolkata Knight Riders,10,0,Andre Russell,10 runs,False,Close,Kolkata Knight Riders
76,2017,Kolkata Knight Riders,Rajasthan Royals,Sawai Mansingh Stadium,Rajasthan Royals,bat,Rajasthan Royals,84,0,Yuzvendra Chahal,84 runs,True,One-sided,Kolkata Knight Riders
77,2017,Kolkata Knight Riders,Sunrisers Hyderabad,M.A. Chidambaram Stadium,Sunrisers Hyderabad,bat,Kolkata Knight Riders,0,5,Andre Russell,5 wickets,False,Chase,Kolkata Knight Riders
78,2017,Kolkata Knight Riders,Punjab Kings,Wankhede Stadium,Kolkata Knight Riders,bat,Punjab Kings,0,8,Arshdeep Singh,8 wickets,False,Chase,Kolkata Knight Riders
79,2017,Delhi Capitals,Rajasthan Royals,Rajiv Gandhi Stadium,Rajasthan Royals,field,Delhi Capitals,17,0,David Warner,17 runs,False,Close,Kolkata Knight Riders
80,2017,Delhi Capitals,Sunrisers Hyderabad,Rajiv Gandhi Stadium,Sunrisers Hyderabad,field,Delhi Capitals,30,0,David Warner,30 runs,False,One-sided,Kolkata Knight Riders
81,2017,Delhi Capitals,Punjab Kings,Rajiv Gandhi Stadium,Delhi Capitals,bat,Delhi Capitals,36,0,David Warner,36 runs,True,One-sided,Kolkata Knight Riders
82,2017,Rajasthan Royals,Sunrisers Hyderabad,Arun Jaitley Stadium,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,50,0,Kane Williamson,50 runs,True,One-sided,Kolkata Knight Riders
83,2017,Rajasthan Royals,Punjab Kings,Sawai Mansingh Stadium,Rajasthan Royals,field,Punjab Kings,28,0,Arshdeep Singh,28 runs,False,One-sided,Kolkata Knight Riders
84,2017,Sunrisers Hyderabad,Punjab Kings,Sawai Mansingh Stadium,Punjab Kings,field,Punjab Kings,0,9,Mayank Agarwal,9 wickets,True,Chase,Kolkata Knight Riders
85,2018,Mumbai Indians,Chennai Super Kings,M.A. Chidambaram Stadium,Chennai Super Kings,bat,Chennai Super Kings,13,0,Ravindra Jadeja,13 runs,True,Close,Sunrisers Hyderabad
86,2018,Mumbai Indians,Royal Challengers Bangalore,Arun Jaitley Stadium,Royal Challengers Bangalore,field,Mumbai Indians,60,0,Jasprit Bumrah,60 runs,False,One-sided,Sunrisers Hyderabad
87,2018,Mumbai Indians,Kolkata Knight Riders,Eden Gardens,Mumbai Indians,field,Kolkata Knight Riders,6,0,Sunil Narine,6 runs,False,Close,Sunrisers Hyderabad
88,2018,Mumbai Indians,Delhi Capitals,Rajiv Gandhi Stadium,Mumbai Indians,bat,Delhi Capitals,0,7,David Warner,7 wickets,False,Chase,Sunrisers Hyderabad
89,2018,Mumbai Indians,Rajasthan Royals,Sawai Mansingh Stadium,Mumbai Indians,bat,Mumbai Indians,11,0,Jasprit Bumrah,11 runs,True,Close,Sunrisers Hyderabad
90,2018,Mumbai Indians,Sunrisers Hyderabad,Sawai Mansingh Stadium,Sunrisers Hyderabad,field,Sunrisers Hyderabad,0,7,Nicholas Pooran,7 wickets,True,Chase,Sunrisers Hyderabad
91,2018,Mumbai Indians,Punjab Kings,Eden Gardens,Mumbai Indians,field,Punjab Kings,71,0,Kagiso Rabada,71 runs,False,One-sided,Sunrisers Hyderabad
92,2018,Chennai Super Kings,Royal Challengers Bangalore,M.A. Chidambaram Stadium,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0,9,Harshal Patel,9 wickets,True,Chase,Sunrisers Hyderabad
93,2018,Chennai Super Kings,Kolkata Knight Riders,Arun Jaitley Stadium,Kolkata Knight Riders,bat,Chennai Super Kings,0,8,MS Dhoni,8 wickets,False,Chase,Sunrisers Hyderabad
94,2018,Chennai Super Kings,Delhi Capitals,Sawai Mansingh Stadium,Delhi Capitals,field,Delhi Capitals,0,3,Prithvi Shaw,3 wickets,True,Chase,Sunrisers Hyderabad
95,2018,Chennai Super Kings,Rajasthan Royals,Wankhede Stadium,Chennai Super Kings,field,Rajasthan Royals,13,0,Sanju Samson,13 runs,False,Close,Sunrisers Hyderabad
96,2018,Chennai Super Kings,Sunrisers Hyderabad,Eden Gardens,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,46,0,Kane Williamson,46 runs,True,One-sided,Sunrisers Hyderabad
97,2018,Chennai Super Kings,Punjab Kings,Arun Jaitley Stadium,Punjab Kings,field,Punjab Kings,0,6,Kagiso Rabada,6 wickets,True,Chase,Sunrisers Hyderabad
98,2018,Royal Challengers Bangalore,Kolkata Knight Riders,Wankhede Stadium,Kolkata Knight Riders,field,Royal Challengers Bangalore,32,0,Dinesh Karthik,32 runs,False,One-sided,Sunrisers Hyderabad
99,2018,Royal Challengers Bangalore,Delhi Capitals,Wankhede Stadium,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0,2,Virat Kohli,2 wickets,True,Chase,Sunrisers Hyderabad
100,2018,Royal Challengers Bangalore,Rajasthan Royals,M.A. Chidambaram Stadium,Royal Challengers Bangalore,bat,Rajasthan Royals,0,3,Jos Buttler,3 wickets,False,Chase,Sunrisers Hyderabad
101,2018,Royal Challengers Bangalore,Sunrisers Hyderabad,Rajiv Gandhi Stadium,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,55,0,Nicholas Pooran,55 runs,True,One-sided,Sunrisers Hyderabad
102,2018,Royal Challengers Bangalore,Punjab Kings,Eden Gardens,Punjab Kings,field,Punjab Kings,0,2,Liam Livingstone,2 wickets,True,Chase,Sunrisers Hyderabad
103,2018,Kolkata Knight Riders,Delhi Capitals,Rajiv Gandhi Stadium,Kolkata Knight Riders,bat,Delhi Capitals,0,7,Anrich Nortje,7 wickets,False,Chase,Sunrisers Hyderabad
104,2018,Kolkata Knight Riders,Rajasthan Royals,Rajiv Gandhi Stadium,Kolkata Knight Riders,bat,Rajasthan Royals,0,4,Sanju Samson,4 wickets,False,Chase,Sunrisers Hyderabad
105,2018,Kolkata Knight Riders,Sunrisers Hyderabad,Sawai Mansingh Stadium,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,77,0,Bhuvneshwar Kumar,77 runs,True,One-sided,Sunrisers Hyderabad
106,2018,Kolkata Knight Riders,Punjab Kings,Arun Jaitley Stadium,Punjab Kings,field,Punjab Kings,0,6,Shikhar Dhawan,6 wickets,True,Chase,Sunrisers Hyderabad
107,2018,Delhi Capitals,Rajasthan Royals,Rajiv Gandhi Stadium,Rajasthan Royals,bat,Rajasthan Royals,19,0,Trent Boult,19 runs,True,Close,Sunrisers Hyderabad
108,2018,Delhi Capitals,Sunrisers Hyderabad,Sawai Mansingh Stadium,Delhi Capitals,field,Delhi Capitals,0,9,Axar Patel,9 wickets,True,Chase,Sunrisers Hyderabad
109,2018,Delhi Capitals,Punjab Kings,M.A. Chidambaram Stadium,Punjab Kings,field,Punjab Kings,0,5,Kagiso Rabada,5 wickets,True,Chase,Sunrisers Hyderabad
110,2018,Rajasthan Royals,Sunrisers Hyderabad,Sawai Mansingh Stadium,Rajasthan Royals,field,Sunrisers Hyderabad,36,0,Nicholas Pooran,36 runs,False,One-sided,Sunrisers Hyderabad
111,2018,Rajasthan Royals,Punjab Kings,Arun Jaitley Stadium,Punjab Kings,field,Punjab Kings,0,6,Liam Livingstone,6 wickets,True,Chase,Sunrisers Hyderabad
112,2018,Sunrisers Hyderabad,Punjab Kings,Rajiv Gandhi Stadium,Sunrisers Hyderabad,field,Sunrisers Hyderabad,0,5,Washington Sundar,5 wickets,True,Chase,Sunrisers Hyderabad
113,2019,Mumbai Indians,Chennai Super Kings,M.A. Chidambaram Stadium,Chennai Super Kings,bat,Chennai Super Kings,52,0,MS Dhoni,52 runs,True,One-sided,Chennai Super Kings
114,2019,Mumbai Indians,Royal Challengers Bangalore,Rajiv Gandhi Stadium,Royal Challengers Bangalore,field,Mumbai Indians,51,0,Hardik Pandya,51 runs,False,One-sided,Chennai Super Kings
115,2019,Mumbai Indians,Kolkata Knight Riders,M.A. Chidambaram Stadium,Kolkata Knight Riders,field,Mumbai Indians,1,0,Jasprit Bumrah,1 runs,False,Close,Chennai Super Kings
116,2019,Mumbai Indians,Delhi Capitals,Sawai Mansingh Stadium,Delhi Capitals,bat,Mumbai Indians,0,6,Hardik Pandya,6 wickets,False,Chase,Chennai Super Kings
117,2019,Mumbai Indians,Rajasthan Royals,Rajiv Gandhi Stadium,Rajasthan Royals,field,Mumbai Indians,38,0,Jasprit Bumrah,38 runs,False,One-sided,Chennai Super Kings
118,2019,Mumbai Indians,Sunrisers Hyderabad,Wankhede Stadium,Sunrisers Hyderabad,field,Mumbai Indians,17,0,Suryakumar Yadav,17 runs,False,Close,Chennai Super Kings
119,2019,Mumbai Indians,Punjab Kings,M.A. Chidambaram Stadium,Mumbai Indians,field,Mumbai Indians,0,9,Suryakumar Yadav,9 wickets,True,Chase,Chennai Super Kings
120,2019,Chennai Super Kings,Royal Challengers Bangalore,Eden Gardens,Chennai Super Kings,field,Chennai Super Kings,0,9,Faf du Plessis,9 wickets,True,Chase,Chennai Super Kings
121,2019,Chennai Super Kings,Kolkata Knight Riders,M.A. Chidambaram Stadium,Chennai Super Kings,bat,Chennai Super Kings,18,0,Ravindra Jadeja,18 runs,True,Close,Chennai Super Kings
122,2019,Chennai Super Kings,Delhi Capitals,Eden Gardens,Delhi Capitals,bat,Delhi Capitals,32,0,David Warner,32 runs,True,One-sided,Chennai Super Kings
123,2019,Chennai Super Kings,Rajasthan Royals,Rajiv Gandhi Stadium,Chennai Super Kings,bat,Chennai Super Kings,43,0,Ruturaj Gaikwad,43 runs,True,One-sided,Chennai Super Kings
124,2019,Chennai Super Kings,Sunrisers Hyderabad,Arun Jaitley Stadium,Sunrisers Hyderabad,bat,Chennai Super Kings,0,5,Deepak Chahar,5 wickets,False,Chase,Chennai Super Kings
125,2019,Chennai Super Kings,Punjab Kings,Arun Jaitley Stadium,Punjab Kings,field,Chennai Super Kings,27,0,Ravindra Jadeja,27 runs,False,One-sided,Chennai Super Kings
126,2019,Royal Challengers Bangalore,Kolkata Knight Riders,Rajiv Gandhi Stadium,Royal Challengers Bangalore,bat,Kolkata Knight Riders,0,2,Venkatesh Iyer,2 wickets,False,Chase,Chennai Super Kings
127,2019,Royal Challengers Bangalore,Delhi Capitals,M.A. Chidambaram Stadium,Royal Challengers Bangalore,bat,Delhi Capitals,0,5,Rishabh Pant,5 wickets,False,Chase,Chennai Super Kings
128,2019,Royal Challengers Bangalore,Rajasthan Royals,M.A. Chidambaram Stadium,Royal Challengers Bangalore,field,Rajasthan Royals,11,0,Shimron Hetmyer,11 runs,False,Close,Chennai Super Kings
129,2019,Royal Challengers Bangalore,Sunrisers Hyderabad,Arun Jaitley Stadium,Sunrisers Hyderabad,field,Royal Challengers Bangalore,28,0,Harshal Patel,28 runs,False,One-sided,Chennai Super Kings
130,2019,Royal Challengers Bangalore,Punjab Kings,Rajiv Gandhi Stadium,Punjab Kings,bat,Royal Challengers Bangalore,0,2,Glenn Maxwell,2 wickets,False,Chase,Chennai Super Kings
131,2019,Kolkata Knight Riders,Delhi Capitals,M.A. Chidambaram Stadium,Kolkata Knight Riders,field,Delhi Capitals,84,0,David Warner,84 runs,False,One-sided,Chennai Super Kings
132,2019,Kolkata Knight Riders,Rajasthan Royals,Arun Jaitley Stadium,Kolkata Knight Riders,bat,Kolkata Knight Riders,30,0,Pat Cummins,30 runs,True,One-sided,Chennai Super Kings
133,2019,Kolkata Knight Riders,Sunrisers Hyderabad,Rajiv Gandhi Stadium,Sunrisers Hyderabad,field,Sunrisers Hyderabad,0,5,Bhuvneshwar Kumar,5 wickets,True,Chase,Chennai Super Kings
134,2019,Kolkata Knight Riders,Punjab Kings,Rajiv Gandhi Stadium,Punjab Kings,bat,Punjab Kings,68,0,Kagiso Rabada,68 runs,True,One-sided,Chennai Super Kings
135,2019,Delhi Capitals,Rajasthan Royals,Eden Gardens,Delhi Capitals,field,Delhi Capitals,0,4,David Warner,4 wickets,True,Chase,Chennai Super Kings
136,2019,Delhi Capitals,Sunrisers Hyderabad,Rajiv Gandhi Stadium,Delhi Capitals,bat,Sunrisers Hyderabad,0,5,Washington Sundar,5 wickets,False,Chase,Chennai Super Kings
137,2019,Delhi Capitals,Punjab Kings,Eden Gardens,Punjab Kings,field,Punjab Kings,0,5,Mayank Agarwal,5 wickets,True,Chase,Chennai Super Kings
138,2019,Rajasthan Royals,Sunrisers Hyderabad,Rajiv Gandhi Stadium,Sunrisers Hyderabad,field,Sunrisers Hyderabad,0,1,Nicholas Pooran,1 wickets,True,Chase,Chennai Super Kings
139,2019,Rajasthan Royals,Punjab Kings,Rajiv Gandhi Stadium,Punjab Kings,field,Rajasthan Royals,2,0,Jos Buttler,2 runs,False,Close,Chennai Super Kings
140,2019,Sunrisers Hyderabad,Punjab Kings,Arun Jaitley Stadium,Sunrisers Hyderabad,field,Punjab Kings,78,0,Liam Livingstone,78 runs,False,One-sided,Chennai Super Kings
141,2020,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,Chennai Super Kings,field,Chennai Super Kings,0,7,Deepak Chahar,7 wickets,True,Chase,Punjab Kings
142,2020,Mumbai Indians,Royal Challengers Bangalore,Rajiv Gandhi Stadium,Royal Challengers Bangalore,field,Mumbai Indians,20,0,Jasprit Bumrah,20 runs,False,Close,Punjab Kings
